year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2009,340006.OF,Random_without_alpha,34834531.358,30103927.74,35853462.448425315,1130556879.2665718,348345313.58486795,35853462.448425315,2731268967.6677403,1195115414.9475105
2010,340006.OF,Random_without_alpha,27651764.779,36095067.268,42890324.779,700634252.2291361,276517647.78882897,54581006.70869462,-48907939.99575891,1819366890.289821
2011,340006.OF,Random_without_alpha,177015011.059,188715752.382,205962745.62975517,11201859427.694324,1770150110.5883436,205962745.62975517,811988855.833996,6865424854.325172
2012,340006.OF,Random_without_alpha,0.0,0.0,0.0,221988735.79665852,-25274854.611275107,13571579.594383843,240599908.5279359,452385986.47946143
2013,340006.OF,Random_without_alpha,21500085.079705358,21500085.079705358,21500085.079705358,502268158.3724278,343184027.0081413,21500085.079705358,782960539.4578145,716669502.6568453
2014,340006.OF,Random_without_alpha,71452518.332,38209033.592,0.0,7156345054.4785185,714525183.3238928,127118617.84423046,879331322.2015322,4237287261.4743485
2015,340006.OF,Random_without_alpha,51433610.808,29964075.939,0.0,4514720840.859487,514336108.07534665,86152662.56388542,152261670.15043515,2871755418.7961807
2016,340006.OF,Random_without_alpha,0.0,0.0,0.0,505690231.5340855,-162262606.75282082,19483512.426366746,-313786436.64309317,649450414.212225
2017,340006.OF,Random_without_alpha,0.0,0.0,0.0,891440428.2899436,-216308994.24308026,28863102.151733387,-46832710.301279336,962103405.0577797
2018,340006.OF,Random_without_alpha,34207736.87669988,34207736.87669988,34207736.87669988,2806468991.7887216,1158988151.442906,34207736.87669988,1695519663.2464547,1140257895.889996
2019,340006.OF,Random_without_alpha,6667138.58582453,6667138.58582453,6667138.58582453,1447761138.6406622,198217523.80573714,6667138.58582453,749132848.1846887,222237952.86081767
2007,163402.OF,Random_without_alpha,9895130.607714754,9895130.607714754,9895130.607714754,1904311444.5151188,620129065.5203105,9895130.607714754,1358445388.9282432,329837686.92382514
2008,163402.OF,Random_without_alpha,38018216.438421234,38018216.438421234,38018216.438421234,1044521266.0339316,422817357.4121226,38018216.438421234,-94091195.22230056,1267273881.2807078
2009,163402.OF,Random_without_alpha,116153269.055,8423909.973,0.0,8575447028.916175,1161532690.5452776,181839340.8698675,-181861904.84164822,6061311362.328917
2010,163402.OF,Random_without_alpha,0.0,10913626.871,32109241.36451722,2885681477.682643,-94575708.87056103,32109241.36451722,210366804.72337946,1070308045.4839073
2011,163402.OF,Random_without_alpha,13585578.856,13958380.067,137470.452,325758110.9805074,135855788.5629539,29314702.872305714,-204341909.8685274,977156762.4101905
