"","year","account_code","mode","return_margin","return_margin2","return_margin3","E_end","excess_return","upper_limit","acc_return","Emean_return"
"13",2010,"163402.OF","Random_with_alpha",61575764.3471871,61723268.5453185,62769252.0191313,1688754329.81646,805020098.076774,106879549.169955,36284389.9305923,1718538254.49353
"14",2011,"163402.OF","Random_with_alpha",46829885.7394765,48562831.9096538,44230110.8050658,1760610284.83235,535261981.948157,78272587.5697004,577371268.71014,1222395326.98887
"15",2012,"163402.OF","Random_with_alpha",68583568.1319445,68481252.3769639,63328033.9657556,2440405959.04496,915100216.86641,88300461.9689085,1060300215.16632,1451180123.20391
"16",2013,"163402.OF","Random_with_alpha",105666410.197794,108605644.659368,98318457.3969178,4040764314.70881,1354753290.07615,132479619.143119,2149560543.09973,1716784382.33642
"17",2014,"163402.OF","Random_with_alpha",70931184.9298288,78474239.4620216,78278916.3651116,2860375122.2554,824115448.173906,111354362.429664,1017295328.62345,1784025027.8525
"18",2015,"163402.OF","Random_with_alpha",87403531.6578907,87674300.2101718,80373836.0713315,3061609893.91336,1229748012.75129,168020305.075674,175104569.346263,2881299973.31489
"19",2007,"340006.OF","Random_with_alpha",72514562.6408453,72835282.5605204,72632529.541215,2541058007.16103,1309459800.07876,86372637.1152807,1434238829.74408,1227527293.38731
"20",2008,"340006.OF","Random_with_alpha",67634576.8271921,67789286.6655534,67891115.1705499,1672802596.56815,800490111.151932,92558298.943948,666172513.18,1057402473.6227
"21",2009,"340006.OF","Random_with_alpha",14935519.1525116,17869218.3785473,19479861.2070389,1189601978.63321,45138589.0709466,55421077.8112454,288147682.236044,911159307.333407
"22",2010,"340006.OF","Random_with_alpha",47786893.3666344,47901081.2325453,47916287.0700558,1315378665.55789,365800739.360477,117541524.868538,-638046930.153683,1982764178.40773
"23",2011,"340006.OF","Random_with_alpha",27599734.6427594,28251364.3687505,28968645.8056129,1502827526.73652,103357779.623575,85031123.3549262,242636921.065591,1274379986.80028
