year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return,ret_exc,ret_exc2,ret_exc3,ret_emean,ret_emean2,ret_emean3,year2
2009-12-31--2016-01-04,163402.OF,mode1,47046096.32323675,48274038.41123675,51779442.60123675,3181035177.2346873,696187113.4713957,69177245.53756902,1393048098.9557722,1250365738.7745585,0.06757679855441584,0.06934060897870983,0.07437575559686688,0.03762586806748643,0.03860793439409857,0.0414114374662761,2010
2009-12-31--2016-01-04,163402.OF,mode2,143875399.811,194084623.35627723,221470536.12727723,13231757948.660143,1438753998.113818,226983654.82226294,8483984713.251661,5904830144.7759075,0.09999999999973463,0.1348977126115506,0.15393217771601075,0.024365713540175027,0.0328687902272662,0.037506673468535846,2010
2010-12-31--2017-01-03,163402.OF,mode1,65258875.24705954,65385505.02305954,70085554.90005954,3213462126.394021,745682885.2258909,83127239.80615373,1344851402.6058443,1641962194.5019846,0.08751558677290892,0.08768540396800471,0.09398841825212122,0.03974444446137378,0.039821565467219114,0.042684024720384524,2011
2010-12-31--2017-01-03,163402.OF,mode2,174547448.57999998,201889341.27660555,238287427.16811097,8911093541.274063,1745474485.806869,238287427.16811097,7671893446.178704,5626823582.486852,0.09999999999960646,0.11566444707055085,0.13651727888646817,0.031020600880978102,0.03587980648708695,0.042348480217109734,2011
2011-12-30--2018-01-02,163402.OF,mode1,63599576.3154555,63599576.3154555,64462877.472455494,2694296289.7184134,950254136.6090797,97446990.18271986,1421624928.5843961,2119985877.18185,0.06692901810709971,0.06692901810709971,0.06783751313357823,0.03,0.03,0.03040722023966858,2012
2011-12-30--2018-01-02,163402.OF,mode2,207515034.62955174,207515034.62955174,279410734.75224406,3119295782.5263643,3465362752.4519644,279410734.75224406,3535061580.803182,6917167820.985058,0.05988262974279436,0.05988262974279436,0.08062957753976642,0.03,0.03,0.040393805959800154,2012
2012-12-31--2019-01-02,163402.OF,mode1,77458799.41044608,80950359.10844606,77483957.43344608,2571760645.1124835,1008300247.5135195,121564981.30282912,3063282.71166116,2757562852.379435,0.07682116472891919,0.08028398218494007,0.07684611565307303,0.02808958618789368,0.029355762113852067,0.028098709469699674,2013
2012-12-31--2019-01-02,163402.OF,mode2,207961049.31475568,212015664.20575565,184151984.83475566,5220171778.927009,2770508929.032427,308818512.3287583,-188715729.74760163,6572508214.233421,0.07506239995674154,0.07652589095960793,0.06646864873995152,0.03164104821723848,0.03225795347758023,0.028018524866344964,2013
2013-12-31--2020-01-02,163402.OF,mode1,62167858.06227584,66672039.19327584,67105516.92127584,2779680583.987996,692676437.5436014,95080039.1314168,910050166.4540232,1917098932.838032,0.08975021336475389,0.09625278929612657,0.09687859047039087,0.03242809069339154,0.03477756836188729,0.03500367965983596,2014
2013-12-31--2020-01-02,163402.OF,mode2,120165679.032,171119044.32477334,106835042.03199999,7240834424.876226,1201656790.3241231,235608604.24377525,2324797606.829219,4352044028.766729,0.09999999999965688,0.14240259423709276,0.0889064522351539,0.027611319701205374,0.03931923555774885,0.02454824476173202,2014
2014-12-31--2021-01-04,163402.OF,mode1,91784387.64335129,91784387.64335129,91784387.64335129,3686085682.4788513,1264313411.5831137,91784387.64335129,1499722508.3042607,1873762917.904213,0.0725962303353432,0.0725962303353432,0.0725962303353432,0.04898399192679686,0.04898399192679686,0.04898399192679686,2015
