date,acc_name_ch,nav_adj,acc_code
20/11/2012,富国天惠,3.705848,161005.OF
21/11/2012,富国天惠,3.739188,161005.OF
22/11/2012,富国天惠,3.71394,161005.OF
23/11/2012,富国天惠,3.744043,161005.OF
26/11/2012,富国天惠,3.714912,161005.OF
27/11/2012,富国天惠,3.654706,161005.OF
28/11/2012,富国天惠,3.591588,161005.OF
29/11/2012,富国天惠,3.586086,161005.OF
30/11/2012,富国天惠,3.61813,161005.OF
03/12/2012,富国天惠,3.554365,161005.OF
04/12/2012,富国天惠,3.580583,161005.OF
05/12/2012,富国天惠,3.684162,161005.OF
06/12/2012,富国天惠,3.676717,161005.OF
07/12/2012,富国天惠,3.737569,161005.OF
10/12/2012,富国天惠,3.799717,161005.OF
11/12/2012,富国天惠,3.800364,161005.OF
12/12/2012,富国天惠,3.808456,161005.OF
13/12/2012,富国天惠,3.777382,161005.OF
14/12/2012,富国天惠,3.910416,161005.OF
17/12/2012,富国天惠,3.910416,161005.OF
18/12/2012,富国天惠,3.893908,161005.OF
19/12/2012,富国天惠,3.931456,161005.OF
20/12/2012,富国天惠,3.960587,161005.OF
21/12/2012,富国天惠,3.974829,161005.OF
24/12/2012,富国天惠,3.987776,161005.OF
25/12/2012,富国天惠,4.081321,161005.OF
26/12/2012,富国天惠,4.144763,161005.OF
27/12/2012,富国天惠,4.1234,161005.OF
28/12/2012,富国天惠,4.192021,161005.OF
31/12/2012,富国天惠,4.236689,161005.OF
04/01/2013,富国天惠,4.189755,161005.OF
07/01/2013,富国天惠,4.224389,161005.OF
08/01/2013,富国天惠,4.252226,161005.OF
09/01/2013,富国天惠,4.269057,161005.OF
10/01/2013,富国天惠,4.280062,161005.OF
11/01/2013,富国天惠,4.215973,161005.OF
14/01/2013,富国天惠,4.349978,161005.OF
15/01/2013,富国天惠,4.374578,161005.OF
16/01/2013,富国天惠,4.364544,161005.OF
17/01/2013,富国天惠,4.337031,161005.OF
18/01/2013,富国天惠,4.408888,161005.OF
21/01/2013,富国天惠,4.412125,161005.OF
22/01/2013,富国天惠,4.359365,161005.OF
23/01/2013,富国天惠,4.368104,161005.OF
24/01/2013,富国天惠,4.275207,161005.OF
25/01/2013,富国天惠,4.293981,161005.OF
28/01/2013,富国天惠,4.394322,161005.OF
29/01/2013,富国天惠,4.411154,161005.OF
30/01/2013,富国天惠,4.424101,161005.OF
31/01/2013,富国天惠,4.404357,161005.OF
01/02/2013,富国天惠,4.452585,161005.OF
04/02/2013,富国天惠,4.437372,161005.OF
05/02/2013,富国天惠,4.507612,161005.OF
06/02/2013,富国天惠,4.520883,161005.OF
07/02/2013,富国天惠,4.528975,161005.OF
08/02/2013,富国天惠,4.608601,161005.OF
18/02/2013,富国天惠,4.585296,161005.OF
19/02/2013,富国天惠,4.488514,161005.OF
20/02/2013,富国天惠,4.569111,161005.OF
21/02/2013,富国天惠,4.498872,161005.OF
22/02/2013,富国天惠,4.459706,161005.OF
25/02/2013,富国天惠,4.476862,161005.OF
26/02/2013,富国天惠,4.426043,161005.OF
27/02/2013,富国天惠,4.432517,161005.OF
28/02/2013,富国天惠,4.529622,161005.OF
01/03/2013,富国天惠,4.564904,161005.OF
04/03/2013,富国天惠,4.41083,161005.OF
05/03/2013,富国天惠,4.480099,161005.OF
06/03/2013,富国天惠,4.521206,161005.OF
07/03/2013,富国天惠,4.470064,161005.OF
08/03/2013,富国天惠,4.416333,161005.OF
11/03/2013,富国天惠,4.409212,161005.OF
12/03/2013,富国天惠,4.360659,161005.OF
13/03/2013,富国天惠,4.308546,161005.OF
14/03/2013,富国天惠,4.326349,161005.OF
15/03/2013,富国天惠,4.337354,161005.OF
18/03/2013,富国天惠,4.324083,161005.OF
19/03/2013,富国天惠,4.33347,161005.OF
20/03/2013,富国天惠,4.437049,161005.OF
21/03/2013,富国天惠,4.479127,161005.OF
22/03/2013,富国天惠,4.490456,161005.OF
25/03/2013,富国天惠,4.477185,161005.OF
26/03/2013,富国天惠,4.499196,161005.OF
27/03/2013,富国天惠,4.51894,161005.OF
28/03/2013,富国天惠,4.431546,161005.OF
29/03/2013,富国天惠,4.387849,161005.OF
01/04/2013,富国天惠,4.414067,161005.OF
02/04/2013,富国天惠,4.362278,161005.OF
